,IPs,APP ID,Protocol type port,FQDNs,Application Name
16047,139.21.25.127,11418,TCP 443;TCP4444,\\ww002.siemens.net\dfs87\MyIT\SE_FEBD\FEBDOK\Program,FebDOK
16056,139.21.146.44,11524,TCP 61814; TCP 5086; TCP 59440; TCP 443,SN10T101.AD001.SIEMENS.NET,OMNITRACKER
16057,132.186.61.209,11542,TCP 28000; TCP 28001,lic-splm-wan01.siemens-energy.com,NX Mach 3 Product Design
16066,10.220.11.143,11949,TCP 27003; TCP 27004,lic-math-ger01.siemens-energy.com              ,MATLAB            
16070,149.212.124.204,12653,UDP: 30464; TCP 21; TCP 22; TCP 80; TCP 1433; TCP 8080;  TCP 9999,sn1trd01.ad001.siemens.net,WinTid
16074,149.212.124.19,12653,UDP: 30464; TCP 21; TCP 22; TCP 80; TCP 8080;  TCP 9999,no-trd-benzing-05.ww002.siemens.net,WinTid
16080,141.73.21.220,12688,TCP 80; TCP 443; TCP 81; TCP 7443; TCP 8443; TCP 945,dekhes7ltsta.ad001.siemens.net,Tool Portal
16082,141.73.21.209,12688,TCP 6443; TCP 8000,dekhes7lws1a.ad001.siemens.net,Tool Portal/LRT3
16138,129.73.168.92,12850,TCP 475,usorla7sp101w.ad001.siemens.net,''APPLIED FLOW TECHNOLOGY CORP - AFT'' 
16158,129.214.226.204,13266,TCP 3389; TCP 80; TCP 443,sn1w4109.ad001.siemens.net,Workload [BRA]
16195,129.214.226.218,13667,TCP 3389; TCP 6202,sn1d9608.ad001.siemens.net,Op Center EX (Simatic IT MES)
16167,10.225.128.109,13413,TCP 8079; TCP 12079,intranet.nexus3.siemens-energy.com;nexusqa.siemens-energy.com,Nexus Siemens Energy [CN]
16168,18.230.86.137,13417,TCP 11026,envisia.guascor.com.br;synccgp.clxvzreqlpmw.sa-east-1.rds.amazonaws.com,Envisia Guascor
16193,129.214.226.217,13667,TCP 3389; TCP 25672; TCP 4369; TCP 15672; TCP 5672; TCP 15672; TCP 80; TCP 443; TCP 4002; TCP 139; TCP 445; TCP 28000; TCP 8888; TCP 4369; TCP 5671; TCP 5672; TCP 25672; TCP 15672; TCP 1234; TCP 1235; TCP 5002; TCP 13011; TCP 5002; TCP 5100; TCP 4999; TCP 4777; TCP 13011; TCP 102; UDP 60601; UDP 60600; TCP 48010,sn1w0414.ad001.siemens.net,Op Center EX (Simatic IT MES)
16199,129.73.171.37,11950,TCP 1055; TCP 1056; TCP 2325,lic-ansy-usa01.siemens-energy.com               ,ANSYS
18782,146.253.76.21,11957,TCP  5053; TCP  5054; TCP  35067,sefsps1ajx.ww007.siemens.net,FRANC3D
16219,149.246.173.39,12005,TCP 7050-7053,derckm99004srv.ad001.siemens.net,NAPA Lohn-EDS
19698,146.254.141.146,1645,UDP 137; UDP 138; TCP 139; TCP 445,DEFTHWA004GSRV.ad001.siemens.net,SIPORT
16252,10.225.128.92,12204,TCP 8080; TCP 443,cnpek0174d.ad101.siemens-energy.net,Saperion Archive Energy China
16266,146.253.34.61,12645,TCP 5432; TCP 443; TCP 4720; TCP 4730; TCP 4735; TCP 4747; TCP 4750; TCP 4780; TCP 4799; TCP 9200; TCP 14720; TCP 14720,SN1QVP01,QlikView publisher
16267,146.253.34.58,12645,TCP 80; TCP 443; TCP 4730; TCP 4735; TCP 4747; TCP 4749; TCP 4750; TCP 4774; TCP 14730; TCP 14747; TCP 14750,SN1QVS01,QlikView server
